34SO2_3 -> 34SO2_1
36SO2_3 -> 36SO2_1
32SO2 -> 32SO2_3
33SO2 -> 33SO2_3
34SO2 -> 34SO2_3
36SO2 -> 36SO2_3
32SO2 + N2 -> 32SO2_3
33SO2 + N2 -> 33SO2_3
34SO2 + N2 -> 34SO2_3
36SO2 + N2 -> 36SO2_3
32SO3 + O -> 32SO2_3 + O2
33SO3 + O -> 33SO2_3 + O2
34SO3 + O -> 34SO2_3 + O2
36SO3 + O -> 36SO2_3 + O2
32SO3 + 32SO -> 32SO2_3 + 32SO2
33SO3 + 32SO -> 33SO2_3 + 32SO2
34SO3 + 32SO -> 34SO2_3 + 32SO2
36SO3 + 32SO -> 36SO2_3 + 32SO2
